Gear ID,4982,Type,Primary Material,Secondary Material,Background,Rarity,Normalized Rarity,Price,Final Price
0,,Buckler,Oak,Iron,Woodland,5.94E+02,40.29,415,415 STX
1,,Buckler,Oak,Iron,Swamp,5.41E+02,36.65,375,375 STX
2,,Buckler,Oak,Iron,Ocean,5.16E+02,34.97,360,360 STX
3,,Buckler,Oak,Iron,Mines,5.52E+02,37.42,385,385 STX
4,,Buckler,Oak,Iron,Candy Land,6.40E+02,43.39,445,445 STX
5,,Buckler,Oak,Iron,Nirvana,2.53E+03,171.68,1725,1725 STX
6,,Buckler,Cherry,Iron,Woodland,2.37E+01,1.61,25,25 STX
7,,Buckler,Cherry,Iron,Swamp,2.15E+01,1.46,25,25 STX
8,,Buckler,Cherry,Iron,Ocean,2.06E+01,1.39,25,25 STX
9,,Buckler,Cherry,Iron,Mines,2.20E+01,1.49,25,25 STX
10,,Buckler,Cherry,Iron,Candy Land,2.55E+01,1.73,25,25 STX
11,x,Buckler,Cherry,Iron,Nirvana,1.01E+02,6.84,80,80 STX
12,,Buckler,Maple,Iron,Woodland,2.31E+01,1.57,25,25 STX
13,,Buckler,Maple,Iron,Swamp,2.10E+01,1.42,25,25 STX
14,,Buckler,Maple,Iron,Ocean,2.00E+01,1.36,25,25 STX
15,,Buckler,Maple,Iron,Mines,2.14E+01,1.45,25,25 STX
16,,Buckler,Maple,Iron,Candy Land,2.49E+01,1.69,25,25 STX
17,,Buckler,Maple,Iron,Nirvana,9.84E+01,6.67,75,75 STX
18,,Buckler,Birch,Iron,Woodland,2.26E+01,1.53,25,25 STX
19,,Buckler,Birch,Iron,Swamp,2.05E+01,1.39,25,25 STX
20,,Buckler,Birch,Iron,Ocean,1.96E+01,1.33,25,25 STX
21,,Buckler,Birch,Iron,Mines,2.10E+01,1.42,25,25 STX
22,,Buckler,Birch,Iron,Candy Land,2.43E+01,1.65,25,25 STX
23,x,Buckler,Birch,Iron,Nirvana,9.62E+01,6.52,75,75 STX
24,,Buckler,Ebony,Iron,Woodland,2.28E+01,1.55,25,25 STX
25,,Buckler,Ebony,Iron,Swamp,2.08E+01,1.41,25,25 STX
26,,Buckler,Ebony,Iron,Ocean,1.98E+01,1.34,25,25 STX
27,,Buckler,Ebony,Iron,Mines,2.12E+01,1.44,25,25 STX
28,,Buckler,Ebony,Iron,Candy Land,2.46E+01,1.67,25,25 STX
29,x,Buckler,Ebony,Iron,Nirvana,9.73E+01,6.59,75,75 STX
30,,Buckler,Oak,Vulcanic,Woodland,1.71E+03,115.90,1170,1170 STX
31,,Buckler,Oak,Vulcanic,Swamp,1.56E+03,105.45,1065,1065 STX
32,,Buckler,Oak,Vulcanic,Ocean,1.48E+03,100.59,1015,1015 STX
33,,Buckler,Oak,Vulcanic,Mines,1.59E+03,107.65,1085,1085 STX
34,,Buckler,Oak,Vulcanic,Candy Land,1.84E+03,124.81,1260,1260 STX
35,x,Buckler,Oak,Vulcanic,Nirvana,7.29E+03,493.89,4950,4950 STX
36,x,Buckler,Cherry,Vulcanic,Woodland,6.81E+01,4.62,55,55 STX
37,x,Buckler,Cherry,Vulcanic,Swamp,6.20E+01,4.20,50,50 STX
38,x,Buckler,Cherry,Vulcanic,Ocean,5.91E+01,4.01,50,50 STX
39,x,Buckler,Cherry,Vulcanic,Mines,6.33E+01,4.29,55,55 STX
40,x,Buckler,Cherry,Vulcanic,Candy Land,7.34E+01,4.97,60,60 STX
41,x,Buckler,Cherry,Vulcanic,Nirvana,2.90E+02,19.68,205,205 STX
42,x,Buckler,Maple,Vulcanic,Woodland,6.64E+01,4.50,55,55 STX
43,x,Buckler,Maple,Vulcanic,Swamp,6.04E+01,4.10,50,50 STX
44,x,Buckler,Maple,Vulcanic,Ocean,5.77E+01,3.91,50,50 STX
45,x,Buckler,Maple,Vulcanic,Mines,6.17E+01,4.18,50,50 STX
46,x,Buckler,Maple,Vulcanic,Candy Land,7.15E+01,4.85,60,60 STX
47,x,Buckler,Maple,Vulcanic,Nirvana,2.83E+02,19.19,200,200 STX
48,x,Buckler,Birch,Vulcanic,Woodland,6.49E+01,4.40,55,55 STX
49,x,Buckler,Birch,Vulcanic,Swamp,5.91E+01,4.00,50,50 STX
50,x,Buckler,Birch,Vulcanic,Ocean,5.64E+01,3.82,50,50 STX
51,x,Buckler,Birch,Vulcanic,Mines,6.03E+01,4.09,50,50 STX
52,x,Buckler,Birch,Vulcanic,Candy Land,6.99E+01,4.74,55,55 STX
53,x,Buckler,Birch,Vulcanic,Nirvana,2.77E+02,18.76,200,200 STX
